algorithm,scenario_name,mean_makespan_sec,mean_total_energy_j,mean_mapping_time_ms
DGWO,Scenario_100,37.9926,5703.8824,262.8
DGWO,Scenario_500,351.9950,52806.9695,1199.0
SJF,Scenario_100000,73726.7842,11059401.6061,48.0
FCFS,Scenario_100000,77919.2442,11688156.9265,6.5
SJF,Scenario_100,92.0486,13813.5655,0.1
DGWO,Scenario_2000,726.5136,108985.9983,4262.1
PSO-SA,Scenario_5000,3224.4782,483683.6887,1613.5
I-COA,Scenario_500,185.1764,27782.2098,1170.3
SJF,Scenario_50,57.9543,8698.3009,0.0
DGWO,Scenario_50,20.5442,3085.0329,129.6
DWOA,Scenario_2000,738.3563,110762.0793,4318.7
I-COA,Scenario_2000,989.7141,148464.5299,4303.2
DTSO-TS,Scenario_2000,304.4207,45668.4321,862.6
DTSO-TS,Scenario_5000,1054.6925,158212.1084,2195.0
RoundRobin,Scenario_100,64.0357,9610.8233,0.0
PSO-SA,Scenario_100,38.0882,5717.6933,50.4
RoundRobin,Scenario_500,335.9657,50400.7805,0.2
PSO-SA,Scenario_1000,539.6782,80958.2455,333.6
DQN,Scenario_1000,398.7833,59824.9014,94225.3
I-COA,Scenario_100000,68757.9709,10313865.6486,395649.2
DWOA,Scenario_50,19.2512,2890.9608,107.7
GO,Scenario_500,190.2810,28548.5946,1214.2
DGWO,Scenario_5000,1876.4227,281474.2078,10977.4
DGWO,Scenario_1000,511.8536,76786.7311,2335.7
PSO-SA,Scenario_500,237.3195,35603.6436,172.2
DCOA-TS,Scenario_100000,9656.2015,1448970.9958,309831.3
DTSO-TS,Scenario_1000,135.5152,20330.8836,448.0
DQN,Scenario_500,173.1502,25977.8950,52973.4
DBDE,Scenario_100000,47691.0025,7153739.9754,239955.8
FCFS,Scenario_50,67.3257,10104.1122,0.0
I-COA,Scenario_1000,424.0180,63608.9947,2309.9
GO,Scenario_100,56.7642,8520.5161,195.6
DCOA-TS,Scenario_100,18.7024,2807.1058,111.8
DQN,Scenario_100,37.5582,5638.0683,10309.8
I-COA,Scenario_5000,3354.6745,503213.6883,12040.3
DCOA-TS,Scenario_500,64.1688,9628.7332,470.9
DCOA-TS,Scenario_5000,512.0422,76821.4416,5838.6
DCOA-TS,Scenario_1000,114.0473,17111.8657,944.3
PSO-SA,Scenario_2000,1200.3802,180065.0878,619.1
DTSO-TS,Scenario_100000,55978.7910,8396925.5018,116841.9
GO,Scenario_2000,818.8226,122830.4783,6980.8
SJF,Scenario_500,372.9657,55952.7513,0.6
I-COA,Scenario_100,48.9515,7348.4211,258.7
FCFS,Scenario_100,103.4914,15529.9205,0.1
DBDE,Scenario_1000,590.3232,88556.3957,1684.5
SJF,Scenario_1000,738.8829,110843.4074,1.1
RoundRobin,Scenario_1000,691.1100,103673.2732,0.4
DQN,Scenario_100000,27576.9781,4136706.4334,6434246.6
RoundRobin,Scenario_5000,3492.1686,523835.6770,0.5
DQN,Scenario_50,22.2809,3345.3997,5420.0
FCFS,Scenario_500,423.2643,63496.0739,0.1
GO,Scenario_50,21.7511,3266.8431,103.3
GO,Scenario_1000,376.9434,56547.9606,2686.0
DCOA-TS,Scenario_50,10.2406,1538.0600,66.6
DCOA-TS,Scenario_2000,214.2651,32147.1430,1806.6
FCFS,Scenario_2000,1598.4400,239774.0479,0.4
GO,Scenario_5000,2491.4925,373734.8142,20332.2
SJF,Scenario_5000,3684.7014,552721.7731,2.8
RoundRobin,Scenario_100000,70136.1559,10520636.9292,6.0
DWOA,Scenario_1000,436.8103,65529.6666,2030.7
SJF,Scenario_2000,1470.3100,220556.8094,0.9
RoundRobin,Scenario_2000,1396.5057,209484.4558,0.1
I-COA,Scenario_50,21.5265,3233.2907,142.1
DBDE,Scenario_2000,945.2748,141801.3693,3435.3
DWOA,Scenario_100000,61773.4228,9266139.4691,290534.8
DBDE,Scenario_100,42.6130,6397.0359,187.1
RoundRobin,Scenario_50,35.4700,5325.1319,0.1
DQN,Scenario_5000,1394.2576,209153.5622,443717.4
DWOA,Scenario_5000,1943.4816,291532.7176,12475.7
DGWO,Scenario_100000,60109.5396,9016553.3735,303668.7
DTSO-TS,Scenario_100,33.7806,5085.4929,36.3
PSO-SA,Scenario_50,20.8965,3138.1982,37.4
GO,Scenario_100000,67034.2709,10055299.5550,402577.1
DBDE,Scenario_500,316.7382,47517.9402,894.6
DQN,Scenario_2000,743.2718,111500.1111,192019.3
DTSO-TS,Scenario_500,74.5679,11187.7823,264.6
DWOA,Scenario_500,292.2162,43840.0152,1033.0
DBDE,Scenario_50,20.1095,3020.4242,83.8
FCFS,Scenario_5000,3892.6514,583911.7217,0.4
PSO-SA,Scenario_100000,71555.3743,10733506.1192,111476.0
DWOA,Scenario_100,42.0612,6314.2776,230.2
FCFS,Scenario_1000,816.6371,122502.7947,0.3
DTSO-TS,Scenario_50,17.3851,2622.5992,26.6
DBDE,Scenario_5000,1505.5741,225850.2096,9464.2
